name,symbol,atomicNumber,atomicWeight,category
Hydrogen,H,1,1.008,Non-Metal
Helium,He,2,4.0026,Non-Metal
Lithium,Li,3,6.94,Non-Metal
Beryllium,Be,4,9.0122,Non-Metal
Boron,B,5,10.81,Non-Metal
Carbon,C,6,12.011,Non-Metal
Nitrogen,N,7,14.007,Non-Metal
Oxygen,O,8,15.999,Non-Metal
Fluorine,F,9,18.998,Non-Metal
Neon,Ne,10,20.18,Non-Metal
Phosphorus,P,15,30.974,Non-Metal
Sulfur,S,16,32.06,Non-Metal
Chlorine,Cl,17,35.45,Non-Metal
Argon,Ar,18,39.948,Non-Metal
Selenium,Se,34,78.971,Non-Metal
Bromine,Br,35,79.904,Non-Metal
Krypton,Kr,36,83.798,Non-Metal
Iodine,I,53,126.904,Non-Metal
Xenon,Xe,54,131.293,Non-Metal
Radon,Rn,86,222,Non-Metal
Oganesson,Og,118,294,Non-Metal
Lithium,Li,3,6.94,Metal
Beryllium,Be,4,9.0122,Metal
Sodium,Na,11,22.99,Metal
Magnesium,Mg,12,24.305,Metal
Aluminum,Al,13,26.982,Metal
Silicon,Si,14,28.085,Metal
Phosphorus,P,15,30.974,Metal
Potassium,K,19,39.098,Metal
Calcium,Ca,20,40.078,Metal
Scandium,Sc,21,44.956,Metal
Titanium,Ti,22,47.867,Metal
Vanadium,V,23,50.941,Metal
Chromium,Cr,24,51.996,Metal
Manganese,Mn,25,54.938,Metal
Iron,Fe,26,55.845,Metal
Cobalt,Co,27,58.933,Metal
Nickel,Ni,28,58.693,Metal
Copper,Cu,29,63.546,Metal
Zinc,Zn,30,65.38,Metal
Gallium,Ga,31,69.723,Metal
Germanium,Ge,32,72.63,Metal
Arsenic,As,33,74.922,Metal
Selenium,Se,34,78.971,Metal
Bromine,Br,35,79.904,Metal
Krypton,Kr,36,83.798,Metal
Rubidium,Rb,37,85.468,Metal
Strontium,Sr,38,87.62,Metal
Yttrium,Y,39,88.906,Metal
Zirconium,Zr,40,91.224,Metal
Niobium,Nb,41,92.906,Metal
Molybdenum,Mo,42,95.95,Metal
Technetium,Tc,43,98,Metal
Ruthenium,Ru,44,101.07,Metal
Rhodium,Rh,45,102.91,Metal
Palladium,Pd,46,106.42,Metal
Silver,Ag,47,107.87,Metal
Cadmium,Cd,48,112.41,Metal
Indium,In,49,114.82,Metal
Tin,Sn,50,118.71,Metal
Antimony,Sb,51,121.76,Metal
Tellurium,Te,52,127.6,Metal
Iodine,I,53,126.904,Metal
Xenon,Xe,54,131.293,Metal
Cesium,Cs,55,132.91,Metal
Barium,Ba,56,137.33,Metal
Lanthanum,La,57,138.905,Metal
Cerium,Ce,58,140.116,Metal
Praseodymium,Pr,59,140.907,Metal
Neodymium,Nd,60,144.242,Metal
Promethium,Pm,61,145,Metal
Samarium,Sm,62,150.36,Metal
Europium,Eu,63,151.964,Metal
Gadolinium,Gd,64,157.25,Metal
Terbium,Tb,65,158.925,Metal
Dysprosium,Dy,66,162.5,Metal
Holmium,Ho,67,164.93,Metal
Erbium,Er,68,167.259,Metal
Thulium,Tm,69,168.934,Metal
Ytterbium,Yb,70,173.04,Metal
Lutetium,Lu,71,174.966,Metal
Hafnium,Hf,72,178.49,Metal
Tantalum,Ta,73,180.947,Metal
Tungsten,W,74,183.84,Metal
Rhenium,Re,75,186.207,Metal
Osmium,Os,76,190.23,Metal
Iridium,Ir,77,192.217,Metal
Platinum,Pt,78,195.084,Metal
Gold,Au,79,196.966,Metal
Mercury,Hg,80,200.592,Metal
Thallium,Tl,81,204.38,Metal
Lead,Pb,82,207.2,Metal
Bismuth,Bi,83,208.98,Metal
Polonium,Po,84,209,Metal
Astatine,At,85,210,Metal
Radon,Rn,86,222,Metal
Francium,Fr,87,223,Metal
Radium,Ra,88,226,Metal
Actinium,Ac,89,227,Metal
Thorium,Th,90,232.038,Metal
Protactinium,Pa,91,231.035,Metal
Uranium,U,92,238.028,Metal
Neptunium,Np,93,237,Metal
Plutonium,Pu,94,244,Metal
Americium,Am,95,243,Metal
Curium,Cm,96,247,Metal
Berkelium,Bk,97,247,Metal
Californium,Cf,98,251,Metal
Einsteinium,Es,99,252,Metal
Fermium,Fm,100,257,Metal
Mendelevium,Md,101,258,Metal
Nobelium,No,102,259,Metal
Lawrencium,Lr,103,262,Metal
Rutherfordium,Rf,104,267,Metal
Dubnium,Db,105,268,Metal
Seaborgium,Sg,106,271,Metal
Bohrium,Bh,107,270,Metal
Hassium,Hs,108,277,Metal
Meitnerium,Mt,109,278,Metal
Darmstadtium,Ds,110,281,Metal
Roentgenium,Rg,111,282,Metal
Copernicium,Cn,112,285,Metal
Nihonium,Nh,113,286,Metal
Flerovium,Fl,114,289,Metal
Moscovium,Mc,115,288,Metal
Livermorium,Lv,116,293,Metal
Tennessine,Ts,117,294,Metal
Oganesson,Og,118,294,Metal
Boron,B,5,10.81,Metalloid
Silicon,Si,14,28.085,Metalloid
Germanium,Ge,32,72.63,Metalloid
Arsenic,As,33,74.922,Metalloid
Antimony,Sb,51,121.76,Metalloid
Tellurium,Te,52,127.6,Metalloid
Polonium,Po,84,209,Metalloid
